Month,TV,radio,newspaper,sales
Jan-00,230.1,37.8,69.2,22.1
Feb-00,44.5,39.3,45.1,10.4
Mar-00,17.2,45.9,69.3,9.3
Apr-00,151.5,41.3,58.5,18.5
May-00,180.8,10.8,58.4,12.9
Jun-00,8.7,48.9,75,7.2
Jul-00,57.5,32.8,23.5,11.8
Aug-00,120.2,19.6,11.6,13.2
Sep-00,8.6,2.1,1,4.8
Oct-00,199.8,2.6,21.2,10.6
Nov-00,66.1,5.8,24.2,8.6
Dec-00,214.7,24,4,17.4
01-Jan,23.8,35.1,65.9,9.2
01-Feb,97.5,7.6,7.2,9.7
01-Mar,204.1,32.9,46,19
01-Apr,195.4,47.7,52.9,22.4
01-May,67.8,36.6,114,12.5
01-Jun,281.4,39.6,55.8,24.4
01-Jul,69.2,20.5,18.3,11.3
01-Aug,147.3,23.9,19.1,14.6
01-Sep,218.4,27.7,53.4,18
01-Oct,237.4,5.1,23.5,12.5
01-Nov,13.2,15.9,49.6,5.6
01-Dec,228.3,16.9,26.2,15.5
02-Jan,62.3,12.6,18.3,9.7
02-Feb,262.9,3.5,19.5,12
02-Mar,142.9,29.3,12.6,15
02-Apr,240.1,16.7,22.9,15.9
02-May,248.8,27.1,22.9,18.9
02-Jun,70.6,16,40.8,10.5
02-Jul,292.9,28.3,43.2,21.4
02-Aug,112.9,17.4,38.6,11.9
02-Sep,97.2,1.5,30,9.6
02-Oct,265.6,20,0.3,17.4
02-Nov,95.7,1.4,7.4,9.5
02-Dec,290.7,4.1,8.5,12.8
03-Jan,266.9,43.8,5,25.4
03-Feb,74.7,49.4,45.7,14.7
03-Mar,43.1,26.7,35.1,10.1
03-Apr,228,37.7,32,21.5
03-May,202.5,22.3,31.6,16.6
03-Jun,177,33.4,38.7,17.1
03-Jul,293.6,27.7,1.8,20.7
03-Aug,206.9,8.4,26.4,12.9
03-Sep,25.1,25.7,43.3,8.5
03-Oct,175.1,22.5,31.5,14.9
03-Nov,89.7,9.9,35.7,10.6
03-Dec,239.9,41.5,18.5,23.2
04-Jan,227.2,15.8,49.9,14.8
04-Feb,66.9,11.7,36.8,9.7
04-Mar,199.8,3.1,34.6,11.4
04-Apr,100.4,9.6,3.6,10.7
04-May,216.4,41.7,39.6,22.6
04-Jun,182.6,46.2,58.7,21.2
04-Jul,262.7,28.8,15.9,20.2
04-Aug,198.9,49.4,60,23.7
04-Sep,7.3,28.1,41.4,5.5
04-Oct,136.2,19.2,16.6,13.2
04-Nov,210.8,49.6,37.7,23.8
04-Dec,210.7,29.5,9.3,18.4
05-Jan,53.5,2,21.4,8.1
05-Feb,261.3,42.7,54.7,24.2
05-Mar,239.3,15.5,27.3,15.7
05-Apr,102.7,29.6,8.4,14
05-May,131.1,42.8,28.9,18
05-Jun,69,9.3,0.9,9.3
05-Jul,31.5,24.6,2.2,9.5
05-Aug,139.3,14.5,10.2,13.4
05-Sep,237.4,27.5,11,18.9
05-Oct,216.8,43.9,27.2,22.3
05-Nov,199.1,30.6,38.7,18.3
05-Dec,109.8,14.3,31.7,12.4
06-Jan,26.8,33,19.3,8.8
06-Feb,129.4,5.7,31.3,11
06-Mar,213.4,24.6,13.1,17
06-Apr,16.9,43.7,89.4,8.7
06-May,27.5,1.6,20.7,6.9
06-Jun,120.5,28.5,14.2,14.2
06-Jul,5.4,29.9,9.4,5.3
06-Aug,116,7.7,23.1,11
06-Sep,76.4,26.7,22.3,11.8
06-Oct,239.8,4.1,36.9,12.3
06-Nov,75.3,20.3,32.5,11.3
06-Dec,68.4,44.5,35.6,13.6
07-Jan,213.5,43,33.8,21.7
07-Feb,193.2,18.4,65.7,15.2
07-Mar,76.3,27.5,16,12
07-Apr,110.7,40.6,63.2,16
07-May,88.3,25.5,73.4,12.9
07-Jun,109.8,47.8,51.4,16.7
07-Jul,134.3,4.9,9.3,11.2
07-Aug,28.6,1.5,33,7.3
07-Sep,217.7,33.5,59,19.4
07-Oct,250.9,36.5,72.3,22.2
07-Nov,107.4,14,10.9,11.5
07-Dec,163.3,31.6,52.9,16.9
08-Jan,197.6,3.5,5.9,11.7
08-Feb,184.9,21,22,15.5
08-Mar,289.7,42.3,51.2,25.4
08-Apr,135.2,41.7,45.9,17.2
08-May,222.4,4.3,49.8,11.7
08-Jun,296.4,36.3,100.9,23.8
08-Jul,280.2,10.1,21.4,14.8
08-Aug,187.9,17.2,17.9,14.7
08-Sep,238.2,34.3,5.3,20.7
08-Oct,137.9,46.4,59,19.2
08-Nov,25,11,29.7,7.2
08-Dec,90.4,0.3,23.2,8.7
09-Jan,13.1,0.4,25.6,5.3
09-Feb,255.4,26.9,5.5,19.8
09-Mar,225.8,8.2,56.5,13.4
09-Apr,241.7,38,23.2,21.8
09-May,175.7,15.4,2.4,14.1
09-Jun,209.6,20.6,10.7,15.9
09-Jul,78.2,46.8,34.5,14.6
09-Aug,75.1,35,52.7,12.6
09-Sep,139.2,14.3,25.6,12.2
09-Oct,76.4,0.8,14.8,9.4
09-Nov,125.7,36.9,79.2,15.9
09-Dec,19.4,16,22.3,6.6
10-Jan,141.3,26.8,46.2,15.5
10-Feb,18.8,21.7,50.4,7
10-Mar,224,2.4,15.6,11.6
10-Apr,123.1,34.6,12.4,15.2
10-May,229.5,32.3,74.2,19.7
10-Jun,87.2,11.8,25.9,10.6
10-Jul,7.8,38.9,50.6,6.6
10-Aug,80.2,0,9.2,8.8
10-Sep,220.3,49,3.2,24.7
10-Oct,59.6,12,43.1,9.7
10-Nov,0.7,39.6,8.7,1.6
10-Dec,265.2,2.9,43,12.7
11-Jan,8.4,27.2,2.1,5.7
11-Feb,219.8,33.5,45.1,19.6
11-Mar,36.9,38.6,65.6,10.8
11-Apr,48.3,47,8.5,11.6
11-May,25.6,39,9.3,9.5
11-Jun,273.7,28.9,59.7,20.8
11-Jul,43,25.9,20.5,9.6
11-Aug,184.9,43.9,1.7,20.7
11-Sep,73.4,17,12.9,10.9
11-Oct,193.7,35.4,75.6,19.2
11-Nov,220.5,33.2,37.9,20.1
11-Dec,104.6,5.7,34.4,10.4
12-Jan,96.2,14.8,38.9,11.4
12-Feb,140.3,1.9,9,10.3
12-Mar,240.1,7.3,8.7,13.2
12-Apr,243.2,49,44.3,25.4
12-May,38,40.3,11.9,10.9
12-Jun,44.7,25.8,20.6,10.1
12-Jul,280.7,13.9,37,16.1
12-Aug,121,8.4,48.7,11.6
12-Sep,197.6,23.3,14.2,16.6
12-Oct,171.3,39.7,37.7,19
12-Nov,187.8,21.1,9.5,15.6
12-Dec,4.1,11.6,5.7,3.2
13-Jan,93.9,43.5,50.5,15.3
13-Feb,149.8,1.3,24.3,10.1
13-Mar,11.7,36.9,45.2,7.3
13-Apr,131.7,18.4,34.6,12.9
13-May,172.5,18.1,30.7,14.4
13-Jun,85.7,35.8,49.3,13.3
13-Jul,188.4,18.1,25.6,14.9
13-Aug,163.5,36.8,7.4,18
13-Sep,117.2,14.7,5.4,11.9
13-Oct,234.5,3.4,84.8,11.9
13-Nov,17.9,37.6,21.6,8
13-Dec,206.8,5.2,19.4,12.2
14-Jan,215.4,23.6,57.6,17.1
14-Feb,284.3,10.6,6.4,15
14-Mar,50,11.6,18.4,8.4
14-Apr,164.5,20.9,47.4,14.5
14-May,19.6,20.1,17,7.6
14-Jun,168.4,7.1,12.8,11.7
14-Jul,222.4,3.4,13.1,11.5
14-Aug,276.9,48.9,41.8,27
14-Sep,248.4,30.2,20.3,20.2
14-Oct,170.2,7.8,35.2,11.7
14-Nov,276.7,2.3,23.7,11.8
14-Dec,165.6,10,17.6,12.6
15-Jan,156.6,2.6,8.3,10.5
15-Feb,218.5,5.4,27.4,12.2
15-Mar,56.2,5.7,29.7,8.7
15-Apr,287.6,43,71.8,26.2
15-May,253.8,21.3,30,17.6
15-Jun,205,45.1,19.6,22.6
15-Jul,139.5,2.1,26.6,10.3
15-Aug,191.1,28.7,18.2,17.3
15-Sep,286,13.9,3.7,15.9
15-Oct,18.7,12.1,23.4,6.7
15-Nov,39.5,41.1,5.8,10.8
15-Dec,75.5,10.8,6,9.9
16-Jan,17.2,4.1,31.6,5.9
16-Feb,166.8,42,3.6,19.6
16-Mar,149.7,35.6,6,17.3
16-Apr,38.2,3.7,13.8,7.6
16-May,94.2,4.9,8.1,9.7
16-Jun,177,9.3,6.4,12.8
16-Jul,283.6,42,66.2,25.5
16-Aug,232.1,8.6,8.7,13.4
